name,targetid,window_lower,window_upper,ra,dec
Ton 1015,38162,2021-01-24,2021-02-26,137.65429166667,33.490119444444
1RXS J085930.5+621737,14040,2021-02-02,2021-03-07,134.87795833333,62.2918
B3 0850+443,14051,2021-02-04,2021-03-09,133.54120833333,44.14175
SDSS J085135.93+552834.5,14073,2021-02-14,2021-03-19,132.89970833333,55.476230555556
GB6 J0850+4855,14083,2021-02-21,2021-03-26,132.50145833333,48.9163
GB6 J0848+6605,14092,2021-02-28,2021-04-02,132.22758333333,66.102638888889
TXS 0846+051,14106,2021-03-04,2021-04-06,132.385625,4.91885
SDSS J081649.78+205106.4,83796,2021-03-12,2021-04-14,124.20741666667,20.851788888889
NVSS J084411+531250,39147,2021-03-20,2021-04-22,131.04875,53.21405
NVSS J132758+252750,14215,2021-04-02,2021-05-05,201.994375,25.463938888889
